Date,FLOW,TSS,NH4,COD,BOD5,PH,WTEM,TURB,EC,RAIN,TEST,CASE,POSI,SARS,VACC,ATEM,LogSARS
5/31/2022,420816,75746880,2781593.76,92579520,46289760,7.2,13.1,32529076.8,689,9.6,989,61,6.17,2858,750,11.8,3.456062224
6/1/2022,274680,57682800,2282590.8,68670000,26643960,7.1,13.3,28841400,967,0,894,84,9.4,40306,667,12.9,4.605369701
6/2/2022,214368,49304640,2508105.6,53592000,27867840,7.1,13.5,20257776,1107,0.2,986,57,5.78,3594,863,15.1,3.555578073
6/3/2022,203688,73327680,2546100,79438320,23649658.47,7,13.7,22201992,1058,1.2,825,40,4.85,5039,915,13.3,3.702344358
6/4/2022,294648,103126800,2660671.44,114912720,35948773.97,7,14,35357760,868,23,622,34,5.47,3951,600,12.8,3.59670703
6/5/2022,346248,79637040,2742284.16,83099520,38087280,7.1,13.7,31543192.8,786,11.2,743,52,7,9228,1132,13.6,3.965107586
6/6/2022,246504,66556080,2317137.6,78881280,32045520,7.1,14.1,24157392,935,0.3,1006,70,6.96,856,1117,15.6,2.932473765
6/7/2022,203520,56985600,2482944,87513600,32563200,7,14.2,30324480,1045,2,1059,94,8.88,3423,857,15.6,3.534406899
6/8/2022,518016,93242880,2512377.6,119143680,56981760,7.1,14.6,40146240,579,36.2,962,78,8.11,1232,451,16.1,3.090610708
6/9/2022,429816,68770560,2832487.44,107454000,32666016,7.1,14.2,42723710.4,817,31.6,1057,55,5.2,12299,899,12.9,4.089869802
6/10/2022,409248,57294720,2435025.6,49109760,49028925.58,7.1,13.9,22099392,795,2.6,966,82,8.49,9366,876,15.6,3.971554153
6/11/2022,313416,56414880,2394498.24,72085680,39455552.64,7,13.9,20904847.2,974,0.1,610,45,7.38,21403,602,16.4,4.330474651
6/12/2022,314904,88173120,2827837.92,94471200,44086560,7,14.5,28057946.4,988,12.4,683,56,8.2,10213,928,17.6,4.009153332
6/13/2022,285600,59976000,2161992,94248000,34272000,7,14.9,19049520,881,3,1064,99,9.3,6971,694,18.1,3.843295083
6/14/2022,225408,51843840,2299161.6,72130560,38319360,7,14.7,21053107.2,1011,0.3,1020,85,8.33,11609,444,16.1,4.064794811
6/15/2022,212328,61575120,2484237.6,67944960,40342320,7,14.9,21105403.2,1017,0,1153,81,7.03,7965,549,19.5,3.90118578
6/16/2022,245616,39298560,2800022.4,98246400,49123200,6.9,15.5,30947616,967,13.1,1014,94,9.27,8640,725,21,3.936513742
6/17/2022,268992,75317760,2485486.08,83387520,46037012.67,6.9,15.9,30396096,801,7.9,959,85,8.86,973,791,16.3,2.98811284
6/18/2022,248568,62142000,2443423.44,82027440,44702740.16,7,15.1,24036525.6,840,7,704,67,9.52,515,571,10.5,2.711807229
6/19/2022,192336,50007360,2288798.4,73087680,38467200,7,15.1,19618272,968,0,681,44,6.46,2070,971,11.9,3.315970345
6/20/2022,180696,59629680,2312908.8,83120160,39753120,7,15.3,23490480,998,0,1064,108,10.15,3353,586,14,3.525433553
6/21/2022,179952,61183680,2717275.2,89976000,37789920,6.9,15.5,23213808,1021,0.1,1222,103,8.43,8820,318,16.8,3.945468585
6/22/2022,169104,50731200,2671843.2,76096800,38893920,6.9,15.7,29762304,1011,0,1091,106,9.72,6540,302,18.8,3.815577748
6/23/2022,263664,84372480,3058502.4,102828960,47459520,6.9,15.9,27684720,776,15.5,1055,110,10.43,6567,563,15.3,3.817367016
6/24/2022,170640,56311200,2320704,75081600,37501132.6,7,15.6,16654464,935,0.1,777,86,11.07,38878,1,19.9,4.589703915
6/25/2022,168096,53790720,2286105.6,68919360,38818797.46,6.8,15.8,21684384,960,0,522,65,12.45,4302,218,21.3,3.633670406
6/26/2022,164808,62627040,2373235.2,80755920,47794320,6.8,16.1,23567544,950,0,805,89,11.06,3875,432,22.7,3.588271707
6/27/2022,321408,102850560,2619475.2,115706880,57853440,6.9,17.8,44997120,641,21.8,985,161,16.35,8624,388,20.1,3.935708748
6/28/2022,189600,58776000,3318000,72048000,28440000,6.9,16.9,24648000,891,0,1217,181,14.87,22327,293,16.6,4.348830372
6/29/2022,196944,55144320,3407131.2,90594240,43327680,6.8,16.9,20285232,955,8,1399,167,11.94,11906,484,17.5,4.075765878
6/30/2022,212136,50912640,2778981.6,72126240,46669920,6.9,17,16164763.2,793,3,949,128,13.49,7288,1075,17.2,3.862608364
7/1/2022,169488,45761760,2610115.2,66100320,31644284.94,6.8,16.9,19321632,904,1.8,1143,157,13.74,10599,42,19.8,4.025264892
7/2/2022,159480,49438800,2711160,63792000,31288425.92,6.8,16.8,16426440,957,0,784,101,12.88,8031,285,19.8,3.904769626
7/3/2022,158712,46026480,2666361.6,65071920,30155280,6.9,16.9,16188624,940,0.2,939,105,11.18,10585,553,16.6,4.024690862
7/4/2022,166464,49939200,2846534.4,73244160,38286720,7,17.2,20475072,942,0.7,1163,154,13.24,12841,611,15.7,4.108598846
7/5/2022,187944,56383200,3458169.6,71418720,39468240,6.9,17.5,23680944,930,8.7,1341,172,12.83,12365,573,17.2,4.092194121
7/6/2022,264912,50333280,2543155.2,76824480,34438560,6.9,17.5,24583833.6,622,7,1264,187,14.79,31621,641,16.3,4.4999756
7/7/2022,158232,96521520,2658297.6,72786720,34811040,6.8,17.4,22785408,947,0,1467,195,13.29,18074,1106,16.3,4.257054278
7/8/2022,170784,73437120,2920406.4,68313600,33879145.76,6.7,17.5,20835648,911,4.7,1147,108,9.42,37489,749,18.3,4.573903856
7/9/2022,151896,65315280,2734128,63796320,31663051.27,6.9,17.4,21265440,942,0,1086,112,10.31,9403,953,15.2,3.973266436
7/10/2022,152904,55045440,2859304.8,70335840,35167920,6.9,17.4,19418808,946,0,952,122,12.82,9858,1211,16.5,3.993788814
7/11/2022,159984,49595040,3055694.4,62393760,31996800,6.9,17.7,19198080,938,0.1,1387,197,14.2,13476,867,20.4,4.129561002
7/12/2022,313176,84557520,3257030.4,109611600,50108160,6.8,18.6,40086528,616,23,1433,215,15,33888,955,20.4,4.530045938
7/13/2022,197064,39412800,2463300,63060480,29559600,6.9,18.3,15666588,748,0.2,1744,281,16.11,15356,1035,20.1,4.186278103
7/14/2022,208896,52224000,3488563.2,81469440,41779200,6.8,18.1,21307392,882,8.1,1554,237,15.25,21704,2196,16.9,4.336539781
7/15/2022,161688,45272640,2150450.4,64675200,25471112.05,6.8,18.1,18594120,762,0.1,1682,266,15.81,18221,607,18,4.260572208
7/16/2022,157704,45734160,2491723.2,59927520,26105618.24,6.8,18.1,17347440,897,0,1137,222,19.53,25270,1070,19.6,4.402605242
7/17/2022,157032,47109600,2386886.4,65953440,15703200,6.8,18.2,19471968,888,0,1049,190,18.11,24573,1499,21.3,4.390458181
7/18/2022,215904,71248320,3238560,103633920,51816960,6.8,18.9,30442464,852,11.8,1495,247,16.52,18497,914,22.4,4.267101297
7/19/2022,210864,44281440,2129726.4,63259200,35846880,6.8,19.2,33527376,663,1.7,2059,360,17.48,18624,1824,21.6,4.270072963
7/20/2022,164592,42793920,2386584,67482720,21396960,6.8,19,17940528,826,0,1642,273,16.63,43817,1975,19.9,4.64164264
7/21/2022,321456,115724160,3124552.32,128582400,45003840,6.8,19.8,47896944,619,54.1,2012,313,15.56,21438,1937,22.5,4.331184267
7/22/2022,361824,65128320,2113052.16,72364800,59813800.06,7.1,19.7,27100617.6,561,8.7,1486,228,15.34,30375,540,22.2,4.482516287
7/23/2022,220992,41988480,2022076.8,53038080,38388552.16,7,19.1,25414080,749,0.1,1224,134,10.95,4743,754,21.7,3.676053125
7/24/2022,230040,59810400,2852496,80514000,39106800,6.9,19.1,22796964,868,16.2,1268,164,12.93,24309,1514,22.8,4.385767094
7/25/2022,265944,55848240,2092979.28,58507680,26062512,6.9,19.6,20291527.2,640,8.7,1456,235,16.14,32837,1174,20.1,4.516363473
7/26/2022,188424,47106000,2204560.8,67832640,28263600,6.9,18.8,20915064,886,0,1722,209,12.14,24811,799,18.5,4.394644269
7/27/2022,175128,45533280,2381740.8,71802480,33274320,6.9,18.7,19264080,922,0,1606,150,9.34,9092,1250,20.9,3.958659427
7/28/2022,219888,68165280,3122409.6,90154080,46176480,6.9,19.2,25067232,923,17.5,1402,133,9.49,24529,529,20.9,4.389679843
7/29/2022,228192,52484160,1857482.88,52484160,39409278.06,6.9,19.8,20719833.6,677,2.8,1464,161,11,18645,1024,19.9,4.270562388
7/30/2022,171240,51372000,2072004,66783600,31075951.85,6.8,19,19178880,820,1.7,1047,91,8.69,17142,472,19.5,4.234061491
7/31/2022,158472,53880480,2361232.8,71312400,38033280,6.9,19,21393720,932,0,1023,80,7.82,3961,802,20.7,3.597804842
8/1/2022,164880,57708000,2588616,75844800,31327200,7,19.3,19950480,934,0,1027,114,11.1,5664,344,21.1,3.753123245
8/2/2022,238200,381120000,3596820,357300000,238200000,6.9,20,146016600,795,11.2,1322,136,10.29,438783,755,19,5.642249793
8/3/2022,160992,241488000,3058848,305884800,109474560,6.9,19.5,160831008,963,0,1169,103,8.81,37121,1197,16.8,4.569619667
8/4/2022,138504,108033120,2174512.8,110803200,59556720,6.8,19.5,55817112,924,2.5,1251,85,6.79,107272,1726,22.2,5.030486378
8/5/2022,182328,120336480,3227205.6,122159760,87231546.83,6.8,19.6,44305704,948,0,990,82,8.28,37598,956,20.1,4.575164744
8/6/2022,152736,65676480,2550691.2,87059520,76786129.1,6.7,19.6,27034272,927,0,879,55,6.26,37940,862,20.9,4.579097327
8/7/2022,192912,55944480,2642894.4,77164800,30865920,6.9,20.2,20834496,814,6.4,766,59,7.7,3882,803,23,3.589055531
8/8/2022,286224,83004960,3291576,111627360,42933600,7,19.2,32343312,707,38.1,1023,95,9.29,3586,861,15.7,3.554610285
8/9/2022,313464,65827440,1865110.8,81500640,34481040,7.1,18.1,23917303.2,726,0.2,990,95,9.6,6796,1044,16.5,3.83225337
8/10/2022,179352,39457440,1659006,60979680,30489840,6.9,18.8,17361273.6,702,0.4,977,75,7.68,11921,1190,18.8,4.076312688
8/11/2022,282720,73507200,2674531.2,87643200,45235200,6.9,19.2,37601760,682,14.4,1156,70,6.06,12226,1555,17.7,4.087284391
8/12/2022,212592,51022080,2189697.6,68029440,33490145.54,6.9,19.2,18941947.2,779,0,821,63,7.67,6872,1307,15.6,3.837083151
8/13/2022,160896,53095680,1962931.2,78839040,26634007.71,6.8,19.2,19307520,889,0,753,59,7.84,5527,925,17.5,3.742489465
8/14/2022,160992,51517440,2221689.6,70836480,35418240,6.8,19.3,29461536,885,0.4,764,62,8.12,3186,1028,19.4,3.503245771
8/15/2022,164232,60765840,2545596,80473680,62408160,6.8,19.5,30875616,899,0,926,94,10.15,4217,1900,18.9,3.625003601
8/16/2022,160632,49795920,2666491.2,83528640,57827520,6.7,19.5,23131008,938,0,1089,76,6.98,1959,2766,20.2,3.292034436
8/17/2022,157416,47224800,2833488,69263040,36205680,6.7,19.6,22038240,949,0.7,1042,84,8.06,2013,3141,19.6,3.303843775
8/18/2022,329328,92211840,3289986.72,118558080,49399200,6.8,19.4,47093904,594,22.3,912,67,7.35,8927,1877,17,3.950705535
8/19/2022,196872,49218000,2264028,61030320,52072443.82,6.9,19.4,16379750.4,757,0.1,836,72,8.61,15603,1805,20.7,4.193208108
8/20/2022,157752,50480640,2634458.4,70988400,43844996.25,6.8,19.6,20192256,949,0,764,49,6.41,56375,885,21.1,4.751086555
8/21/2022,217848,65354400,3725200.8,98031600,52283520,6.8,19.8,41608968,941,22.6,715,50,6.99,228369,885,22.8,5.35863715
8/22/2022,227496,56874000,2263585.2,65973840,29574480,7,20.1,24114576,656,0.6,812,68,8.37,1340,2157,21.7,3.127104798
8/23/2022,205440,59577600,2896704,90393600,36979200,6.9,19.9,27323520,888,13.5,1070,84,7.85,4115,2328,22,3.61436984
8/24/2022,345000,48300000,2415000,82800000,34500000,6.9,20,30015000,553,18,1029,57,5.54,1886,2538,21.2,3.275541688
8/25/2022,210096,44120160,2227017.6,65129760,29413440,6.9,19.7,18908640,786,0,846,48,5.67,2020,2511,17.6,3.305351369
8/26/2022,231432,64800960,2499465.6,108773040,32407162.25,6.9,19.4,24531792,788,7.8,729,48,6.58,376,1888,13.8,2.575187845
8/27/2022,164880,41220000,2044512,65952000,24260890.07,6.9,19.3,15004080,904,0,627,39,6.22,356,968,14.8,2.551449998
8/28/2022,163344,40836000,2188809.6,68604480,27768480,6.9,19.4,16661088,931,0,651,34,5.22,925,1025,15.8,2.966141733
8/29/2022,172368,51710400,2240784,75841920,41368320,6.9,19.7,20167056,933,4.4,1051,71,6.76,769,1508,20.4,2.88592634
8/30/2022,268464,75169920,1879248,110070240,42954240,6.9,20.8,33021072,561,40.5,935,74,7.91,2088,1420,23.7,3.319730494
8/31/2022,272712,98176320,1671724.56,103630560,38179680,6.9,20.1,38452392,601,19.1,1049,65,6.2,3723,1564,18.3,3.570893036
9/1/2022,295584,100498560,2243482.56,124145280,44337600,7.1,19.5,43450848,740,0.6,866,61,7.04,6496,1465,13.1,3.812646016
9/2/2022,206712,167436720,2687256,165369600,44624541.43,7,19.3,81444528,907,0,825,54,6.55,1542,1614,14,3.188084374
9/3/2022,175728,128281440,2425046.4,140582400,39863020.23,7,19.1,49379568,967,0,662,30,4.53,6304,788,18.5,3.799616204
9/4/2022,166824,140132160,2318853.6,133459200,70066080,6.9,19.1,52883208,968,0.3,572,26,4.55,10320,501,15.6,4.013679697
9/5/2022,182616,116874240,2720978.4,146092800,65741760,6.9,19.2,52776024,949,0,845,52,6.15,14269,10,14.9,4.154393538
9/6/2022,146472,71771280,2241021.6,80559600,39547440,6.9,19.3,28562040,997,0,840,52,6.19,782,1520,15.5,2.893206753
9/7/2022,166584,59970240,2682002.4,76628640,38314320,6.9,19.5,23821512,917,0,842,56,6.65,899,1719,16.8,2.953759692
9/8/2022,164448,62490240,2795616,80579520,39467520,6.8,19.6,26969472,909,0,1005,76,7.56,1499,1292,17.4,3.175801633
9/9/2022,161448,50048880,2760760.8,62964720,41132874.79,6.8,19.6,16952040,890,0,764,57,7.46,3633,1997,18.4,3.560265398
9/10/2022,159480,52628400,2599524,70171200,42695664.53,6.5,19.8,18021240,874,0,598,27,4.52,3687,923,18.6,3.566673138
9/11/2022,164256,60774720,2693798.4,72272640,34493760,6.7,19.8,30387360,861,0,656,37,5.64,2217,860,20.4,3.345765693
9/12/2022,165096,52830720,3070785.6,77595120,37972080,6.8,20,22618152,864,0,860,70,8.14,7020,1959,20.5,3.846337112
9/13/2022,193032,73352160,3802730.4,102306960,40536720,6.9,20,29147832,879,8.3,951,65,6.83,758,1749,19.4,2.879669206
9/14/2022,314544,75490560,5441611.2,97508640,34599840,7,19.5,26484604.8,542,22.2,854,73,8.55,4764,1999,14.6,3.677971753
9/15/2022,168264,43748640,3836419.2,55527120,30287520,7,19.3,18172512,824,0,901,63,6.99,4930,2313,11,3.692846919
9/16/2022,149088,43235520,2549404.8,50689920,25225921.49,7,19.3,18486912,885,0,729,55,7.54,3920,1935,10.8,3.593286067
9/17/2022,143928,40299840,2475561.6,56131920,25590030.17,6.9,19.1,15976008,901,0.4,556,32,5.76,3746,1148,10.4,3.573567773
9/18/2022,236280,59070000,2811732,75609600,33079200,7.1,18.3,23344464,662,11.3,620,22,3.55,5175,1130,10.4,3.713910354
9/19/2022,146064,40897920,2410056,70110720,32134080,7.1,18.9,14299665.6,905,0.1,915,60,6.56,1079,1444,9.3,3.033021445
9/20/2022,187344,59950080,2716488,69317280,41215680,7,18.5,22855968,769,5.3,955,81,8.48,7700,1709,10.8,3.886490725
9/21/2022,148872,46150320,2783906.4,68481120,32751840,7,18.9,21586440,914,0.1,825,65,7.88,1161,1920,11.5,3.06483222
9/22/2022,241128,65104560,2989987.2,81983520,36169200,7.1,18,36410328,668,10.6,750,51,6.8,7663,2048,13.4,3.884398826
9/23/2022,144960,37689600,2522304,50736000,29320179.05,7.1,18.7,13147872,900,0,810,50,6.17,3526,1900,8.5,3.547282308
9/24/2022,145056,43516800,2523974.4,53670720,30830125.43,7,18.5,17116608,909,0,616,39,6.33,3700,1335,11.7,3.568201724
9/25/2022,148608,44582400,2541196.8,59443200,34179840,6.9,18.5,19170432,846,1.2,739,56,7.58,1992,1345,11.1,3.299289334
9/26/2022,219480,59259600,2853240,79012800,43896000,7,18.2,21948000,755,13.8,1030,73,7.09,6698,1774,12.4,3.825945143
9/27/2022,306048,67330560,2794218.24,85693440,36725760,7.1,17,28462464,539,10.9,935,62,6.63,12038,643,12.6,4.080554339
9/28/2022,181008,41631840,1574769.6,59732640,32581440,7.1,18,13195483.2,585,3.6,974,67,6.88,9084,1329,13.1,3.958277126
9/29/2022,151992,42557760,3267828,57756960,30398400,7,18.3,15807168,942,0,1045,60,5.74,3101,2229,7.8,3.491501766
9/30/2022,147384,42741360,2756080.8,60427440,28663910.4,6.9,18.4,19159920,879,0,827,54,6.53,3902,1704,9,3.591287265
10/1/2022,146520,46886400,3076920,65934000,29943541.56,6.9,18.4,18901080,905,0,639,40,6.26,3092,1208,9.7,3.490239485
10/2/2022,143016,52915920,2917526.4,82949280,42904800,7,18.2,21738432,891,0,732,60,8.2,7680,381,8.05,3.88536122
10/3/2022,140952,46514160,2804944.8,69066480,32418960,6.8,18.2,19028520,887,0,751,51,6.79,36645,283,6.4,4.564014726
10/4/2022,140424,44935680,2780395.2,73020480,37914480,6.9,18.2,26399712,908,0,1351,81,6,3885,2045,7.8,3.589391023
10/5/2022,139944,44782080,2924829.6,65773680,36385440,7,18.1,18892440,910,0,1173,83,7.08,10614,1914,10.4,4.025879083
10/6/2022,142632,47068560,2852640,68463360,41363280,7,18.2,21109536,898,0,1121,77,6.87,4801,1549,12.2,3.681331706
10/7/2022,204984,77893920,4530146.4,98392320,50231437.55,7,17.8,23983128,826,7.4,985,67,6.8,1156,1326,8.8,3.062957834
